"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV2022 - Stemmeberettigede";"FV2022 - Afgivne stemmer";"FV2022 - Blanke stemmer";"FV2022 - Andre ugyldige stemmer";"FV2022 - Gyldige stemmer";"FV2022 - A. Socialdemokratiet";"FV2022 - B. Radikale Venstre";"FV2022 - C. Det Konservative Folkeparti";"FV2022 - D. Nye Borgerlige";"FV2022 - F. SF - Socialistisk Folkeparti";"FV2022 - I. Liberal Alliance";"FV2022 - K. Kristendemokraterne";"FV2022 - M. Minoritetspartiet";"FV2022 - O. Dansk Folkeparti";"FV2022 - Q. Frie Grønne, Danmarks Nye Venstrefløjsparti";"FV2022 - V. Venstre, Danmarks Liberale Parti";"FV2022 - Æ. Danmarksdemokraterne - Inger Støjberg";"FV2022 - Ø. Enhedslisten - De Rød-Grønne";"FV2022 - Å. Alternativet";"FV2022 - 1. Uden for partierne";"FV2022 - 2. Uden for partierne";"FV2022 - 3. Uden for partierne"
"101001";"101001";"1";"1";"1";"11022";"9742";"116";"32";"9594";"1665";"823";"520";"135";"1148";"1046";"23";"1068";"87";"67";"946";"83";"1121";"848";"12";"2";"-"
"101002";"101002";"1";"1";"1";"6071";"5213";"48";"6";"5159";"878";"390";"382";"81";"520";"552";"14";"625";"80";"42";"642";"85";"482";"380";"5";"1";"-"
"101003";"101003";"1";"1";"1";"11124";"10110";"94";"15";"10001";"1622";"964";"515";"108";"1260";"878";"18";"1064";"89";"66";"874";"87";"1305";"1135";"13";"3";"-"
"101005";"101005";"1";"1";"1";"10900";"9057";"124";"29";"8904";"1789";"691";"426";"153";"1072";"730";"31";"881";"156";"169";"693";"119";"1160";"821";"11";"2";"-"
"101006";"101006";"1";"1";"1";"9550";"8078";"105";"25";"7948";"1538";"700";"441";"122";"847";"761";"21";"818";"122";"133";"623";"113";"979";"714";"11";"5";"-"
"101007";"101007";"2";"1";"1";"9512";"7376";"135";"44";"7197";"1841";"472";"227";"180";"851";"440";"22";"529";"185";"242";"511";"191";"932";"550";"17";"7";"-"
"101008";"101008";"2";"1";"1";"13144";"10614";"145";"52";"10417";"2013";"799";"360";"151";"1316";"778";"25";"911";"161";"351";"689";"182";"1654";"999";"20";"8";"-"
"101009";"101009";"2";"1";"1";"12600";"9938";"138";"50";"9750";"1641";"732";"513";"226";"1033";"1238";"20";"1056";"106";"235";"1005";"177";"995";"757";"10";"6";"-"
"101010";"101010";"2";"1";"1";"10582";"9338";"96";"30";"9212";"1491";"728";"547";"116";"1025";"1067";"4";"1088";"95";"64";"989";"122";"1050";"814";"12";"0";"-"
"101011";"101011";"3";"1";"1";"14528";"11290";"102";"20";"11168";"1335";"1093";"633";"132";"1126";"1331";"16";"1230";"89";"144";"963";"90";"1701";"1266";"10";"9";"-"
"101012";"101012";"3";"1";"1";"6329";"5732";"52";"10";"5670";"815";"525";"361";"53";"601";"624";"10";"625";"43";"27";"620";"55";"721";"580";"8";"2";"-"
"101013";"101013";"3";"1";"1";"9429";"8279";"57";"30";"8192";"1310";"593";"283";"90";"890";"596";"12";"737";"68";"84";"563";"96";"1531";"1318";"18";"3";"-"
"101014";"101014";"3";"1";"1";"11689";"10193";"114";"38";"10041";"1409";"816";"734";"126";"916";"1412";"24";"1255";"90";"49";"1149";"97";"1045";"904";"9";"6";"-"
"101016";"101016";"4";"1";"1";"11045";"9014";"134";"37";"8843";"1802";"634";"384";"188";"995";"803";"19";"924";"162";"126";"717";"170";"1091";"806";"22";"0";"-"
"101017";"101017";"4";"1";"1";"14277";"11666";"165";"33";"11468";"2183";"837";"419";"227";"1373";"903";"26";"1008";"176";"225";"836";"233";"1797";"1192";"22";"11";"-"
"101018";"101018";"4";"1";"1";"8064";"6705";"100";"15";"6590";"1582";"411";"267";"145";"880";"478";"17";"558";"136";"66";"527";"161";"779";"573";"8";"2";"-"
"101019";"101019";"4";"1";"1";"9353";"7914";"80";"24";"7810";"1682";"604";"378";"132";"942";"691";"26";"846";"115";"67";"729";"175";"759";"658";"5";"1";"-"
"101020";"101020";"5";"1";"1";"6295";"5254";"70";"25";"5159";"818";"368";"105";"40";"690";"195";"15";"353";"41";"164";"212";"60";"1271";"814";"13";"0";"-"
"101021";"101021";"5";"1";"1";"9966";"8437";"113";"28";"8296";"907";"804";"232";"76";"1039";"544";"15";"658";"64";"287";"484";"64";"1843";"1266";"8";"5";"-"
"101022";"101022";"5";"1";"1";"5860";"4935";"56";"22";"4857";"609";"389";"134";"41";"513";"238";"11";"320";"43";"285";"273";"38";"1219";"733";"8";"3";"-"
"101023";"101023";"5";"1";"1";"6517";"5734";"40";"18";"5676";"672";"523";"171";"41";"685";"445";"5";"513";"26";"87";"327";"33";"1190";"944";"8";"6";"-"
"101024";"101024";"5";"1";"1";"6786";"5857";"68";"12";"5777";"837";"455";"137";"47";"814";"301";"8";"383";"55";"182";"295";"60";"1361";"829";"9";"4";"-"
"101025";"101025";"5";"1";"1";"9766";"8355";"89";"35";"8231";"932";"773";"184";"69";"1099";"405";"14";"568";"62";"222";"393";"53";"2127";"1315";"11";"4";"-"
"101027";"101027";"6";"1";"1";"10076";"8016";"114";"18";"7884";"1113";"644";"217";"116";"955";"451";"23";"509";"110";"395";"389";"119";"1818";"1015";"8";"2";"-"
"101028";"101028";"6";"1";"1";"7232";"5650";"82";"37";"5531";"1259";"333";"182";"92";"737";"279";"17";"376";"125";"193";"300";"140";"961";"524";"11";"2";"-"
"101029";"101029";"6";"1";"1";"4120";"3215";"35";"9";"3171";"798";"172";"125";"79";"375";"211";"9";"225";"97";"108";"214";"81";"451";"217";"6";"3";"-"
"101030";"101030";"6";"1";"1";"9123";"7333";"101";"29";"7203";"1083";"489";"191";"106";"901";"407";"17";"509";"103";"270";"391";"90";"1692";"938";"16";"0";"-"
"101031";"101031";"7";"1";"1";"3776";"3295";"40";"10";"3245";"739";"234";"153";"69";"473";"196";"7";"262";"55";"72";"227";"56";"435";"262";"4";"1";"-"
"101032";"101032";"7";"1";"1";"2597";"1577";"22";"17";"1538";"336";"82";"22";"15";"116";"51";"7";"64";"34";"409";"36";"28";"263";"71";"3";"1";"-"
"101033";"101033";"7";"1";"1";"7072";"5967";"82";"14";"5871";"1228";"432";"245";"108";"811";"425";"19";"530";"103";"101";"436";"121";"788";"513";"10";"1";"-"
"101034";"101034";"7";"1";"1";"7807";"6522";"71";"17";"6434";"1449";"463";"213";"84";"938";"314";"13";"472";"105";"259";"367";"93";"1058";"594";"9";"3";"-"
"101035";"101035";"7";"1";"1";"6031";"4397";"76";"28";"4293";"1038";"268";"168";"63";"518";"224";"17";"280";"117";"292";"241";"127";"631";"300";"9";"0";"-"
"101036";"101036";"7";"1";"1";"7759";"6393";"88";"8";"6297";"1688";"341";"248";"140";"879";"324";"14";"506";"182";"237";"429";"200";"680";"422";"4";"3";"-"
"101039";"101039";"7";"1";"1";"4566";"3930";"65";"6";"3859";"853";"309";"195";"65";"504";"321";"9";"331";"64";"52";"338";"66";"453";"296";"2";"1";"-"
"101040";"101040";"7";"1";"1";"5107";"4445";"56";"14";"4375";"923";"325";"247";"66";"650";"317";"14";"401";"75";"58";"372";"86";"501";"333";"4";"3";"-"
"101041";"101041";"7";"1";"1";"9963";"8418";"137";"36";"8245";"1922";"507";"375";"146";"1039";"652";"30";"784";"152";"178";"751";"145";"983";"564";"8";"9";"-"
"101042";"101042";"8";"1";"1";"8012";"6779";"86";"19";"6674";"1423";"516";"320";"133";"890";"536";"15";"579";"113";"115";"563";"136";"797";"524";"13";"1";"-"
"101043";"101043";"8";"1";"1";"8817";"7577";"136";"22";"7419";"1483";"561";"350";"114";"930";"657";"12";"736";"116";"113";"647";"125";"915";"648";"9";"3";"-"
"101044";"101044";"8";"1";"1";"8846";"6921";"115";"30";"6776";"1359";"469";"343";"142";"774";"636";"14";"649";"92";"269";"671";"137";"733";"470";"14";"4";"-"
"101046";"101046";"8";"1";"1";"4699";"3549";"66";"15";"3468";"864";"198";"150";"82";"410";"249";"6";"289";"93";"153";"238";"113";"385";"231";"5";"2";"-"
"101047";"101047";"8";"1";"1";"4872";"3818";"57";"18";"3743";"841";"222";"129";"53";"473";"266";"8";"284";"78";"149";"287";"90";"542";"317";"4";"0";"-"
"101048";"101048";"8";"1";"1";"7337";"6150";"103";"29";"6018";"1137";"443";"283";"119";"767";"587";"10";"556";"89";"98";"578";"105";"749";"487";"10";"0";"-"
"101049";"101049";"9";"1";"1";"6985";"6329";"73";"12";"6244";"887";"507";"190";"47";"980";"345";"2";"469";"48";"79";"326";"71";"1327";"960";"5";"1";"-"
"101050";"101050";"9";"1";"1";"8056";"7038";"57";"22";"6959";"876";"724";"251";"63";"887";"512";"10";"586";"44";"87";"468";"49";"1348";"1042";"11";"1";"-"
"101051";"101051";"9";"1";"1";"8237";"6268";"109";"36";"6123";"1475";"268";"123";"184";"666";"307";"18";"343";"164";"186";"277";"157";"1238";"700";"13";"4";"-"
"101052";"101052";"9";"1";"1";"6249";"5520";"48";"7";"5465";"685";"504";"197";"55";"656";"452";"7";"549";"39";"65";"368";"37";"1025";"817";"6";"3";"-"
"101053";"101053";"9";"1";"1";"7504";"6705";"57";"18";"6630";"916";"675";"260";"69";"819";"590";"7";"645";"54";"128";"513";"57";"1069";"820";"5";"3";"-"
"101054";"101054";"9";"1";"1";"3415";"2687";"35";"8";"2644";"439";"183";"58";"39";"339";"201";"4";"174";"42";"59";"178";"48";"533";"338";"8";"1";"-"
"101055";"101055";"9";"1";"1";"11317";"9689";"123";"26";"9540";"1154";"868";"600";"171";"820";"1665";"10";"1316";"42";"138";"1216";"117";"748";"666";"5";"4";"-"
"101056";"101056";"1";"1";"1";"7821";"6975";"67";"15";"6893";"922";"619";"465";"83";"638";"1035";"9";"941";"51";"52";"973";"71";"548";"480";"4";"2";"-"
"101057";"101057";"2";"1";"1";"7818";"6563";"82";"18";"6463";"1226";"532";"246";"100";"842";"421";"12";"587";"94";"237";"470";"140";"901";"651";"3";"1";"-"
"101058";"101058";"5";"1";"1";"9339";"7459";"95";"37";"7327";"885";"655";"160";"56";"854";"370";"7";"484";"61";"609";"336";"50";"1739";"1046";"11";"4";"-"
"101059";"101059";"6";"1";"1";"5280";"3959";"58";"28";"3873";"670";"243";"114";"62";"486";"166";"14";"223";"69";"307";"207";"71";"822";"415";"3";"1";"-"
"147001";"147001";"10";"1";"1";"8258";"7428";"64";"19";"7345";"1241";"635";"585";"79";"797";"721";"18";"818";"71";"79";"702";"82";"819";"692";"5";"1";"-"
"147002";"147002";"10";"1";"1";"8499";"7654";"53";"17";"7584";"1287";"613";"734";"90";"763";"686";"10";"888";"77";"41";"858";"112";"746";"674";"5";"0";"-"
"147003";"147003";"10";"1";"1";"10972";"9889";"85";"35";"9769";"1623";"923";"687";"112";"1085";"975";"15";"1077";"95";"79";"996";"119";"1129";"842";"7";"5";"-"
"147004";"147004";"10";"1";"1";"10215";"9002";"94";"25";"8883";"1566";"779";"729";"109";"966";"780";"16";"947";"117";"150";"945";"119";"930";"719";"8";"3";"-"
"147005";"147005";"11";"1";"1";"10314";"8511";"93";"37";"8381";"1772";"614";"733";"140";"842";"706";"19";"763";"149";"197";"896";"174";"870";"488";"16";"2";"-"
"147006";"147006";"11";"1";"1";"9138";"7747";"78";"23";"7646";"1743";"437";"741";"112";"667";"641";"27";"711";"164";"149";"827";"189";"766";"460";"8";"4";"-"
"147007";"147007";"11";"1";"1";"9671";"8239";"92";"19";"8128";"1580";"595";"774";"144";"758";"752";"16";"882";"114";"100";"878";"138";"837";"544";"13";"3";"-"
"147008";"147008";"11";"1";"1";"7909";"7106";"87";"7";"7012";"1235";"559";"521";"82";"770";"762";"20";"741";"74";"58";"739";"107";"786";"547";"7";"4";"-"
"151001";"151001";"20";"2";"1";"4054";"3121";"60";"21";"3040";"1293";"95";"113";"123";"203";"150";"10";"233";"168";"73";"220";"158";"123";"73";"0";"5";"-"
"151002";"151002";"20";"2";"1";"6011";"4643";"81";"38";"4524";"1794";"143";"154";"187";"377";"242";"24";"355";"225";"82";"342";"228";"247";"109";"1";"14";"-"
"151003";"151003";"20";"2";"1";"2531";"2237";"17";"9";"2211";"783";"73";"126";"74";"209";"148";"5";"248";"100";"12";"190";"95";"92";"54";"0";"2";"-"
"151004";"151004";"20";"2";"1";"3080";"2335";"34";"11";"2290";"865";"61";"75";"106";"217";"123";"11";"180";"140";"60";"158";"148";"99";"43";"1";"3";"-"
"151005";"151005";"20";"2";"1";"3679";"3338";"42";"10";"3286";"1016";"161";"210";"82";"355";"251";"15";"372";"101";"22";"383";"124";"114";"79";"0";"1";"-"
"151006";"151006";"20";"2";"1";"5635";"4416";"72";"34";"4310";"1662";"125";"163";"144";"396";"262";"18";"387";"210";"85";"308";"211";"223";"109";"0";"7";"-"
"151008";"151008";"20";"2";"1";"4075";"3562";"42";"16";"3504";"1109";"157";"191";"95";"356";"243";"14";"387";"101";"29";"419";"115";"169";"116";"0";"3";"-"
"151009";"151009";"20";"2";"1";"3370";"3044";"31";"9";"3004";"879";"170";"154";"58";"343";"233";"14";"315";"92";"19";"318";"86";"141";"179";"2";"1";"-"
"151010";"151010";"20";"2";"1";"2136";"1904";"26";"6";"1872";"538";"97";"90";"40";"261";"120";"6";"186";"44";"23";"189";"66";"117";"92";"0";"3";"-"
"153001";"153001";"18";"2";"1";"3921";"3225";"51";"10";"3164";"1053";"106";"134";"133";"262";"221";"12";"301";"152";"106";"295";"192";"148";"46";"1";"2";"-"
"153002";"153002";"18";"2";"1";"3348";"2536";"32";"16";"2488";"1045";"50";"87";"110";"208";"141";"6";"188";"160";"52";"176";"140";"93";"32";"0";"0";"-"
"153003";"153003";"18";"2";"1";"3035";"2411";"32";"18";"2361";"940";"43";"86";"105";"226";"135";"6";"176";"133";"40";"181";"114";"137";"30";"1";"8";"-"
"153004";"153004";"18";"2";"1";"5339";"4073";"55";"36";"3982";"1577";"116";"153";"176";"327";"181";"18";"252";"219";"180";"251";"222";"230";"69";"0";"11";"-"
"153005";"153005";"18";"2";"1";"7919";"5592";"63";"21";"5508";"1749";"225";"194";"158";"495";"237";"61";"418";"241";"609";"335";"249";"436";"92";"2";"7";"-"
"155001";"155001";"12";"1";"1";"3812";"3416";"20";"13";"3383";"735";"144";"426";"80";"248";"393";"3";"509";"88";"4";"443";"110";"103";"96";"1";"0";"-"
"155004";"155004";"12";"1";"1";"6556";"5797";"50";"17";"5730";"1406";"179";"634";"173";"389";"566";"10";"771";"166";"20";"778";"313";"163";"151";"11";"0";"-"
"157001";"157001";"13";"2";"1";"5419";"4851";"32";"16";"4803";"547";"307";"805";"89";"272";"722";"8";"680";"79";"24";"905";"58";"160";"146";"0";"1";"-"
"157002";"157002";"13";"2";"1";"4411";"3940";"49";"6";"3885";"755";"334";"396";"85";"379";"315";"14";"467";"89";"28";"506";"80";"245";"190";"0";"2";"-"
"157003";"157003";"13";"2";"1";"4844";"4356";"17";"16";"4323";"537";"332";"656";"85";"227";"630";"10";"653";"65";"17";"738";"65";"146";"155";"5";"2";"-"
"157004";"157004";"13";"2";"1";"5126";"4184";"53";"13";"4118";"798";"280";"506";"110";"358";"409";"10";"560";"130";"43";"464";"112";"196";"135";"2";"5";"-"
"157005";"157005";"13";"2";"1";"4964";"4538";"51";"2";"4485";"565";"374";"624";"86";"313";"617";"5";"647";"70";"30";"691";"82";"178";"196";"2";"5";"-"
"157006";"157006";"13";"2";"1";"5622";"5185";"18";"12";"5155";"511";"342";"765";"98";"287";"822";"5";"764";"93";"14";"975";"59";"198";"219";"1";"2";"-"
"157007";"157007";"13";"2";"1";"6148";"5540";"34";"15";"5491";"639";"353";"753";"126";"329";"849";"12";"841";"81";"16";"907";"85";"267";"227";"2";"4";"-"
"157008";"157008";"13";"2";"1";"4389";"3994";"37";"5";"3952";"503";"217";"643";"72";"189";"525";"7";"601";"115";"11";"683";"73";"152";"153";"2";"6";"-"
"157009";"157009";"13";"2";"1";"5090";"4671";"36";"12";"4623";"430";"277";"676";"93";"177";"940";"13";"699";"80";"8";"888";"57";"131";"148";"3";"3";"-"
"157010";"157010";"13";"2";"1";"4618";"4108";"27";"9";"4072";"432";"210";"722";"86";"216";"620";"9";"550";"104";"9";"769";"76";"136";"129";"2";"2";"-"
"159001";"159001";"15";"2";"1";"4700";"4032";"48";"12";"3972";"953";"304";"292";"84";"418";"360";"9";"489";"125";"21";"463";"101";"210";"141";"0";"2";"-"
"159002";"159002";"15";"2";"1";"6245";"5169";"70";"17";"5082";"1480";"274";"232";"132";"603";"365";"18";"551";"163";"52";"460";"160";"359";"222";"3";"8";"-"
"159003";"159003";"15";"2";"1";"5768";"4629";"60";"18";"4551";"1394";"220";"217";"150";"498";"320";"13";"484";"190";"77";"438";"205";"235";"108";"0";"2";"-"
"159004";"159004";"15";"2";"1";"6198";"5091";"38";"16";"5037";"1390";"357";"144";"95";"631";"245";"32";"492";"167";"217";"368";"133";"505";"250";"1";"10";"-"
"159005";"159005";"15";"2";"1";"6072";"4861";"81";"36";"4744";"1536";"197";"175";"149";"537";"326";"24";"436";"177";"144";"368";"186";"346";"134";"0";"9";"-"
"159006";"159006";"15";"2";"1";"6000";"5349";"61";"14";"5274";"1328";"497";"279";"95";"672";"367";"9";"644";"104";"27";"578";"93";"304";"275";"0";"2";"-"
"159007";"159007";"15";"2";"1";"3815";"3354";"39";"7";"3308";"818";"246";"156";"66";"441";"249";"7";"345";"106";"25";"314";"84";"263";"180";"0";"8";"-"
"159008";"159008";"15";"2";"1";"4173";"3476";"32";"7";"3437";"982";"184";"190";"85";"358";"299";"13";"380";"113";"32";"364";"131";"216";"86";"3";"1";"-"
"159009";"159009";"15";"2";"1";"2875";"2191";"26";"4";"2161";"506";"139";"120";"58";"214";"214";"5";"258";"60";"73";"217";"78";"149";"70";"0";"0";"-"
"161001";"161001";"20";"2";"1";"2326";"2048";"23";"11";"2014";"599";"64";"94";"46";"169";"178";"8";"270";"79";"44";"236";"112";"69";"44";"0";"2";"-"
"161002";"161002";"20";"2";"1";"2413";"1907";"32";"8";"1867";"557";"72";"112";"79";"143";"169";"5";"197";"75";"28";"210";"84";"86";"50";"0";"0";"-"
"161003";"161003";"20";"2";"1";"4162";"3264";"78";"18";"3168";"1022";"99";"147";"130";"294";"231";"8";"332";"155";"79";"300";"160";"145";"64";"2";"0";"-"
"161004";"161004";"20";"2";"1";"3028";"2280";"50";"11";"2219";"954";"65";"64";"68";"169";"103";"11";"158";"158";"80";"113";"115";"127";"32";"1";"1";"-"
"161005";"161005";"20";"2";"1";"1420";"1301";"15";"6";"1280";"322";"32";"97";"35";"70";"113";"4";"189";"51";"17";"226";"69";"34";"20";"1";"0";"-"
"161006";"161006";"20";"2";"1";"2877";"2364";"30";"6";"2328";"771";"70";"99";"100";"201";"179";"7";"253";"114";"44";"273";"111";"72";"29";"1";"4";"-"
"163001";"163001";"16";"2";"1";"7213";"5539";"103";"30";"5406";"1805";"234";"256";"185";"527";"364";"35";"506";"193";"139";"402";"246";"381";"129";"1";"3";"-"
"163002";"163002";"16";"2";"1";"6294";"5521";"63";"9";"5449";"1903";"201";"401";"165";"483";"344";"29";"590";"146";"66";"495";"224";"293";"107";"0";"2";"-"
"163003";"163003";"16";"2";"1";"6454";"5066";"87";"31";"4948";"1628";"164";"266";"185";"476";"280";"27";"455";"205";"73";"403";"217";"398";"160";"0";"11";"-"
"165001";"165001";"19";"2";"1";"3902";"3179";"53";"13";"3113";"893";"127";"161";"88";"453";"180";"11";"270";"105";"61";"195";"100";"331";"134";"2";"2";"-"
"165002";"165002";"19";"2";"1";"3298";"2769";"38";"26";"2705";"971";"91";"133";"63";"354";"116";"9";"186";"106";"104";"176";"115";"212";"65";"0";"4";"-"
"165003";"165003";"19";"2";"1";"3074";"2258";"25";"14";"2219";"720";"92";"55";"69";"288";"98";"14";"161";"109";"141";"93";"87";"211";"74";"3";"4";"-"
"165004";"165004";"19";"2";"1";"3428";"2447";"39";"12";"2396";"934";"81";"51";"116";"293";"100";"12";"102";"144";"107";"90";"124";"198";"42";"0";"2";"-"
"165005";"165005";"19";"2";"1";"4229";"3379";"44";"15";"3320";"1109";"142";"92";"73";"502";"118";"16";"230";"106";"252";"146";"116";"302";"105";"4";"7";"-"
"167001";"167001";"17";"2";"1";"4047";"3434";"47";"6";"3381";"925";"160";"188";"93";"434";"227";"14";"354";"153";"38";"326";"118";"202";"139";"4";"6";"-"
"167002";"167002";"17";"2";"1";"3143";"2528";"48";"3";"2477";"820";"91";"119";"95";"260";"204";"8";"238";"120";"61";"193";"105";"119";"41";"1";"2";"-"
"167003";"167003";"17";"2";"1";"4255";"3382";"48";"12";"3322";"1155";"142";"113";"110";"376";"196";"3";"282";"161";"69";"235";"165";"204";"105";"1";"5";"-"
"167004";"167004";"17";"2";"1";"4503";"3711";"56";"8";"3647";"1270";"133";"141";"96";"476";"176";"5";"346";"189";"24";"269";"173";"227";"117";"0";"5";"-"
"167005";"167005";"17";"2";"1";"4868";"4212";"59";"7";"4146";"1191";"200";"222";"105";"511";"281";"21";"453";"157";"56";"424";"180";"198";"140";"2";"5";"-"
"167006";"167006";"17";"2";"1";"5099";"4223";"54";"10";"4159";"1490";"166";"191";"127";"468";"221";"10";"384";"215";"80";"313";"161";"212";"117";"0";"4";"-"
"167007";"167007";"17";"2";"1";"5641";"4619";"44";"12";"4563";"1490";"193";"242";"125";"407";"293";"24";"478";"214";"199";"394";"247";"183";"71";"0";"3";"-"
"167008";"167008";"17";"2";"1";"4532";"3289";"64";"16";"3209";"994";"146";"112";"155";"349";"164";"12";"271";"149";"174";"176";"182";"245";"76";"0";"4";"-"
"169001";"169001";"19";"2";"1";"2001";"1346";"21";"7";"1318";"353";"74";"95";"64";"121";"62";"10";"98";"46";"106";"108";"71";"74";"34";"0";"2";"-"
"169002";"169002";"19";"2";"1";"3192";"2597";"37";"8";"2552";"807";"98";"305";"81";"183";"147";"12";"215";"104";"90";"205";"129";"126";"46";"2";"2";"-"
"169004";"169004";"19";"2";"1";"4145";"3535";"44";"11";"3480";"1035";"140";"408";"116";"278";"205";"15";"321";"160";"108";"361";"171";"116";"43";"0";"3";"-"
"169006";"169006";"19";"2";"1";"3638";"2598";"55";"26";"2517";"684";"161";"178";"100";"189";"150";"17";"198";"93";"220";"187";"126";"168";"41";"1";"4";"-"
"169007";"169007";"19";"2";"1";"5089";"4103";"66";"16";"4021";"1368";"149";"347";"132";"336";"243";"9";"345";"199";"115";"305";"239";"160";"71";"0";"3";"-"
"169008";"169008";"19";"2";"1";"3536";"2601";"49";"8";"2544";"781";"117";"156";"93";"226";"172";"18";"233";"117";"109";"176";"138";"159";"47";"1";"1";"-"
"169009";"169009";"19";"2";"1";"1836";"1576";"16";"5";"1555";"370";"38";"131";"85";"126";"125";"7";"169";"69";"11";"206";"109";"57";"51";"0";"1";"-"
"169010";"169010";"19";"2";"1";"5723";"4478";"55";"29";"4394";"1204";"220";"334";"164";"391";"324";"22";"465";"167";"116";"451";"228";"198";"105";"3";"2";"-"
"169012";"169012";"19";"2";"1";"3963";"3423";"45";"15";"3363";"989";"91";"296";"147";"302";"272";"12";"333";"153";"36";"326";"243";"100";"61";"2";"0";"-"
"169013";"169013";"19";"2";"1";"695";"631";"8";"0";"623";"154";"27";"42";"35";"50";"56";"2";"83";"26";"4";"64";"34";"29";"17";"0";"0";"-"
"173001";"173001";"14";"2";"1";"5157";"4316";"62";"19";"4235";"810";"267";"410";"98";"403";"518";"8";"575";"95";"26";"555";"82";"199";"181";"0";"8";"-"
"173002";"173002";"14";"2";"1";"4312";"3559";"47";"13";"3499";"992";"209";"242";"98";"385";"271";"5";"378";"125";"42";"327";"82";"199";"137";"2";"5";"-"
"173003";"173003";"14";"2";"1";"4833";"4132";"72";"11";"4049";"675";"333";"425";"109";"384";"551";"14";"519";"88";"40";"456";"52";"231";"164";"4";"4";"-"
"173004";"173004";"14";"2";"1";"5003";"4488";"37";"14";"4437";"800";"356";"467";"97";"418";"482";"10";"644";"95";"16";"622";"88";"173";"164";"0";"5";"-"
"173005";"173005";"14";"2";"1";"1120";"1025";"5";"0";"1020";"149";"87";"80";"15";"77";"125";"6";"161";"9";"2";"155";"18";"48";"88";"0";"0";"-"
"173006";"173006";"14";"2";"1";"4789";"4467";"26";"4";"4437";"548";"366";"635";"79";"412";"541";"9";"685";"60";"8";"750";"62";"155";"125";"0";"2";"-"
"173007";"173007";"14";"2";"1";"3769";"3467";"27";"3";"3437";"651";"321";"390";"57";"396";"294";"5";"498";"64";"30";"444";"47";"138";"102";"0";"0";"-"
"173008";"173008";"14";"2";"1";"4079";"3542";"44";"12";"3486";"735";"221";"344";"65";"404";"323";"6";"506";"89";"9";"397";"82";"158";"140";"0";"7";"-"
"173009";"173009";"14";"2";"1";"2146";"2036";"9";"4";"2023";"363";"208";"184";"36";"292";"164";"3";"273";"33";"5";"261";"24";"96";"81";"0";"0";"-"
"173010";"173010";"14";"2";"1";"4541";"3809";"47";"14";"3748";"828";"287";"383";"85";"470";"306";"8";"411";"85";"30";"423";"82";"185";"161";"1";"3";"-"
"175001";"175001";"16";"2";"1";"3365";"2804";"43";"14";"2747";"745";"157";"152";"65";"340";"208";"8";"293";"86";"57";"231";"94";"172";"136";"0";"3";"-"
"175002";"175002";"16";"2";"1";"3992";"3224";"60";"16";"3148";"1172";"102";"118";"120";"295";"162";"15";"293";"154";"52";"218";"179";"187";"76";"1";"4";"-"
"175003";"175003";"16";"2";"1";"5862";"4875";"60";"5";"4810";"1488";"230";"242";"123";"551";"315";"23";"510";"218";"80";"394";"150";"307";"173";"2";"4";"-"
"175004";"175004";"16";"2";"1";"3808";"2905";"61";"10";"2834";"1025";"101";"112";"105";"303";"155";"10";"203";"140";"97";"205";"132";"167";"74";"1";"4";"-"
"175005";"175005";"16";"2";"1";"5851";"4818";"70";"10";"4738";"1577";"175";"202";"121";"513";"328";"28";"505";"194";"104";"395";"173";"271";"149";"1";"2";"-"
"175006";"175006";"16";"2";"1";"4302";"3467";"47";"4";"3416";"1081";"155";"180";"104";"293";"242";"15";"342";"147";"109";"321";"164";"174";"82";"1";"6";"-"
"175007";"175007";"16";"2";"1";"1363";"981";"8";"9";"964";"406";"27";"16";"39";"70";"33";"5";"45";"67";"77";"38";"45";"73";"21";"0";"2";"-"
"183001";"183001";"18";"2";"1";"1404";"1198";"11";"2";"1185";"298";"32";"68";"70";"101";"91";"0";"183";"52";"12";"119";"95";"43";"21";"0";"0";"-"
"183002";"183002";"18";"2";"1";"2693";"2158";"29";"6";"2123";"773";"77";"77";"81";"157";"83";"10";"154";"93";"153";"183";"158";"94";"28";"0";"2";"-"
"183003";"183003";"18";"2";"1";"3507";"2474";"31";"16";"2427";"816";"85";"71";"102";"217";"95";"25";"162";"149";"220";"164";"147";"131";"36";"0";"7";"-"
"183004";"183004";"18";"2";"1";"2882";"1706";"25";"19";"1662";"540";"92";"22";"62";"143";"82";"15";"100";"84";"225";"68";"62";"144";"19";"0";"4";"-"
"183005";"183005";"18";"2";"1";"3180";"2568";"38";"11";"2519";"815";"93";"106";"69";"165";"174";"5";"236";"140";"145";"245";"142";"136";"47";"0";"1";"-"
"185001";"185001";"12";"1";"1";"4516";"3882";"64";"6";"3812";"1204";"89";"187";"184";"272";"271";"21";"332";"231";"74";"434";"297";"126";"85";"5";"0";"-"
"185002";"185002";"12";"1";"1";"5089";"4527";"68";"12";"4447";"1477";"142";"263";"156";"333";"309";"8";"499";"146";"55";"550";"199";"191";"117";"1";"1";"-"
"185003";"185003";"12";"1";"1";"4746";"3811";"42";"21";"3748";"1452";"85";"142";"126";"330";"235";"12";"279";"197";"73";"305";"219";"184";"106";"3";"0";"-"
