"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV2022 - Stemmeberettigede";"FV2022 - Afgivne stemmer";"FV2022 - Blanke stemmer";"FV2022 - Andre ugyldige stemmer";"FV2022 - Gyldige stemmer";"FV2022 - A. Socialdemokratiet";"FV2022 - B. Radikale Venstre";"FV2022 - C. Det Konservative Folkeparti";"FV2022 - D. Nye Borgerlige";"FV2022 - F. SF - Socialistisk Folkeparti";"FV2022 - I. Liberal Alliance";"FV2022 - K. Kristendemokraterne";"FV2022 - M. Minoritetspartiet";"FV2022 - O. Dansk Folkeparti";"FV2022 - Q. Frie Grønne, Danmarks Nye Venstrefløjsparti";"FV2022 - V. Venstre, Danmarks Liberale Parti";"FV2022 - Æ. Danmarksdemokraterne - Inger Støjberg";"FV2022 - Ø. Enhedslisten - De Rød-Grønne";"FV2022 - Å. Alternativet";"FV2022 - 1. Uden for partierne";"FV2022 - 2. Uden for partierne";"FV2022 - 3. Uden for partierne"
"390011";"390011";"31";"5";"2";"939";"846";"6";"2";"838";"275";"14";"29";"36";"88";"28";"2";"98";"36";"5";"81";"51";"64";"29";"2";"0";"-"
"390012";"390012";"31";"5";"2";"3428";"2861";"38";"3";"2820";"967";"61";"101";"92";"320";"144";"5";"317";"123";"5";"304";"201";"111";"67";"0";"2";"-"
"390013";"390013";"31";"5";"2";"918";"773";"12";"3";"758";"193";"13";"30";"35";"78";"43";"2";"79";"30";"4";"99";"78";"42";"30";"1";"1";"-"
"390014";"390014";"31";"5";"2";"606";"511";"7";"1";"503";"157";"8";"16";"17";"51";"35";"1";"51";"30";"1";"37";"34";"32";"31";"2";"0";"-"
"390015";"390015";"31";"5";"2";"1426";"1152";"15";"2";"1135";"359";"20";"35";"71";"94";"47";"4";"133";"52";"1";"116";"131";"30";"38";"0";"4";"-"
"390016";"390016";"31";"5";"2";"1730";"1476";"19";"6";"1451";"580";"21";"40";"70";"157";"84";"3";"173";"70";"7";"91";"67";"46";"32";"4";"6";"-"
"390017";"390017";"31";"5";"2";"1514";"1326";"13";"4";"1309";"485";"13";"50";"72";"112";"79";"3";"175";"50";"3";"133";"85";"23";"23";"1";"2";"-"
"400001";"400001";"28";"4";"1";"2579";"2140";"27";"10";"2103";"722";"21";"76";"44";"133";"82";"41";"125";"102";"3";"378";"140";"159";"74";"3";"-";"-"
"400002";"400002";"28";"4";"1";"2242";"1876";"29";"6";"1841";"485";"25";"94";"42";"130";"66";"46";"113";"110";"2";"360";"134";"159";"71";"4";"-";"-"
"400003";"400003";"28";"4";"1";"1588";"1402";"16";"8";"1378";"413";"28";"47";"12";"151";"41";"20";"94";"31";"1";"269";"58";"143";"69";"1";"-";"-"
"400004";"400004";"28";"4";"1";"3487";"2806";"40";"13";"2753";"1058";"29";"70";"54";"166";"107";"54";"179";"167";"10";"488";"177";"123";"68";"3";"-";"-"
"400005";"400005";"28";"4";"1";"1325";"1137";"17";"6";"1114";"332";"15";"39";"27";"65";"53";"27";"73";"74";"3";"236";"101";"44";"24";"1";"-";"-"
"400006";"400006";"28";"4";"1";"4060";"3225";"34";"16";"3175";"1035";"24";"116";"94";"136";"107";"92";"163";"255";"6";"714";"247";"112";"64";"10";"-";"-"
"400007";"400007";"27";"4";"1";"1966";"1609";"32";"4";"1573";"477";"4";"53";"55";"62";"65";"41";"88";"153";"1";"323";"153";"57";"39";"2";"-";"-"
"400008";"400008";"27";"4";"1";"11329";"9071";"121";"39";"8911";"3525";"86";"357";"160";"647";"303";"153";"570";"518";"17";"1532";"445";"385";"193";"20";"-";"-"
"400009";"400009";"27";"4";"1";"2182";"1843";"25";"4";"1814";"655";"16";"69";"40";"92";"67";"28";"90";"140";"5";"333";"130";"94";"54";"1";"-";"-"
"410001";"410001";"45";"6";"2";"5653";"4823";"61";"12";"4750";"1515";"152";"258";"151";"410";"400";"20";"541";"102";"10";"596";"302";"168";"119";"6";"-";"-"
"410002";"410002";"45";"6";"2";"5341";"4664";"62";"13";"4589";"1656";"147";"216";"153";"362";"276";"18";"476";"143";"14";"530";"408";"115";"72";"3";"-";"-"
